dcr_regiao,id_projeto,nom_projeto,cd_talhao,data_cto,dcr_operacao,flag_cto_executado,data_inicio_operacao,dcr_municipio,dcr_estado,vlr_area
BRACELL SP,0359,SÃO JOSÉ IV - GLEBA II,006-01,2025-02-17,CORTE HARVESTER,S,2025-02-12,Avaí,SÃO PAULO,10.61
BRACELL SP,0359,SÃO JOSÉ IV - GLEBA II,007-01,2025-02-11,CORTE HARVESTER,S,2025-02-07,Avaí,SÃO PAULO,10.61
BRACELL SP,0359,SÃO JOSÉ IV - GLEBA II,008-01,2025-02-11,CORTE HARVESTER,S,2025-02-06,Avaí,SÃO PAULO,10.61
BRACELL SP,1131,BRINCO DE OURO - M2A,046-01,2025-06-15,CORTE HARVESTER,S,2025-06-10,Ubirajara,SÃO PAULO,1.48
BRACELL SP,0967,MARUQUE,004-01,2025-06-15,CORTE HARVESTER,S,2025-06-04,Itapeva,SÃO PAULO,46.66
BRACELL SP,1131,BRINCO DE OURO - M2A,047-01,2025-06-15,CORTE HARVESTER,S,2025-06-11,Ubirajara,SÃO PAULO,1.48
BRACELL SP,0577,SÃO VICENTE DO POÇO DA PEDRA,013-01,2025-05-16,CORTE HARVESTER,S,2025-05-15,Fernão,SÃO PAULO,0.71
BRACELL SP,0359,SÃO JOSÉ IV - GLEBA II,009-01,2025-02-10,CORTE HARVESTER,S,2025-02-01,Avaí,SÃO PAULO,10.61
BRACELL MG,5010,NOVAES,014-01,2025-06-01,CORTE HARVESTER,S,2025-05-30,Uberlândia,MINAS GERAIS,162.14
BRACELL MG,5019,SAN NELO,045-01,2025-04-25,CORTE HARVESTER,S,2025-04-05,Sacramento,MINAS GERAIS,1.34
BRACELL SP,0383,SANTA TEREZA DO LIMOEIRO II,004-01,2025-05-24,CORTE HARVESTER,S,2025-05-17,Paulistânia,SÃO PAULO,3.54
BRACELL SP,0362,SITIO BARREIRO,001-01,2025-01-28,CORTE HARVESTER,S,2025-01-24,Torrinha,SÃO PAULO,4.22
BRACELL SP,0362,SITIO BARREIRO,002-01,2025-01-28,CORTE HARVESTER,S,2025-01-24,Torrinha,SÃO PAULO,4.22
BRACELL MG,5010,NOVAES,013-01,2025-05-30,CORTE HARVESTER,S,2025-05-23,Uberlândia,MINAS GERAIS,162.14
BRACELL SP,0360,SANTA LUCIA I,002-01,2025-02-01,CORTE HARVESTER,S,2025-01-28,Garça,SÃO PAULO,0.23
BRACELL SP,0361,SANTA LUCIA II,001-01,2025-02-06,CORTE HARVESTER,S,2025-02-03,Garça,SÃO PAULO,0.71
BRACELL SP,0360,SANTA LUCIA I,003-01,2025-02-05,CORTE HARVESTER,S,2025-01-30,Garça,SÃO PAULO,0.23
BRACELL SP,0360,SANTA LUCIA I,001-01,2025-02-06,CORTE HARVESTER,S,2025-01-26,Garça,SÃO PAULO,0.23
BRACELL MG,5010,NOVAES,005-01,2025-05-23,CORTE HARVESTER,S,2025-05-20,Uberlândia,MINAS GERAIS,162.14
BRACELL SP,0347,VALE VERDE,024-01,2024-12-21,CORTE HARVESTER,S,2024-12-15,Santa Cruz do Rio Pardo,SÃO PAULO,6.13
BRACELL SP,0348,SÃO JOÃO VII,036-01,2024-08-10,CORTE HARVESTER,S,2024-07-28,Presidente Alves,SÃO PAULO,7.15
BRACELL SP,0351,SANTA MARIANA II,001-01,2024-12-10,CORTE HARVESTER,S,2024-12-03,Oriente,SÃO PAULO,32.16
BRACELL SP,0351,SANTA MARIANA II,012-01,2024-12-18,CORTE HARVESTER,S,2024-12-12,Oriente,SÃO PAULO,32.16
BRACELL SP,0351,SANTA MARIANA II,015-01,2024-12-19,CORTE HARVESTER,S,2024-12-17,Oriente,SÃO PAULO,32.16
BRACELL SP,0351,SANTA MARIANA II,030-01,2024-12-04,CORTE HARVESTER,S,2024-11-29,Oriente,SÃO PAULO,32.16
BRACELL MG,5010,NOVAES,016-01,2025-06-14,CORTE HARVESTER,S,2025-06-06,Uberlândia,MINAS GERAIS,162.14
BRACELL MG,5010,NOVAES,012-01,2025-05-26,CORTE HARVESTER,S,2025-05-21,Uberlândia,MINAS GERAIS,162.14
BRACELL MG,5019,SAN NELO,004-01,,CORTE HARVESTER,N,2025-06-11,Sacramento,MINAS GERAIS,1.34
BRACELL SP,0351,SANTA MARIANA II,032-01,2024-11-30,CORTE HARVESTER,S,2024-11-26,Oriente,SÃO PAULO,32.16
BRACELL SP,2081,FLECHA AZUL,090-01,,CORTE HARVESTER,N,2024-11-01,Boa Esperança do Sul,SÃO PAULO,0.46
BRACELL MG,5009,SANTA IZA,005-01,2025-02-12,CORTE HARVESTER,S,2025-02-11,Veríssimo,MINAS GERAIS,11.08
BRACELL MG,5009,SANTA IZA,068-01,2025-03-20,CORTE HARVESTER,S,2025-03-13,Veríssimo,MINAS GERAIS,11.08
BRACELL MG,5009,SANTA IZA,002-01,2025-03-11,CORTE HARVESTER,S,2025-03-09,Veríssimo,MINAS GERAIS,11.08
BRACELL MG,5009,SANTA IZA,069-01,2025-03-14,CORTE HARVESTER,S,2025-02-16,Veríssimo,MINAS GERAIS,11.08
BRACELL MG,5009,SANTA IZA,077-01,2025-03-20,CORTE HARVESTER,S,2025-03-18,Veríssimo,MINAS GERAIS,11.08
