dcr_regiao,id_projeto,nom_projeto,cd_talhao,data_cto,dcr_operacao,flag_cto_executado,data_inicio_operacao,dcr_municipio,dcr_estado,vlr_area
BRACELL SP,0298,MONJOLÃO,038-01,2024-12-30,BALDEIO FORWARDER,S,2024-12-29,Bofete,SÃO PAULO,5.0
BRACELL SP,0298,MONJOLÃO,045-01,2024-12-28,BALDEIO FORWARDER,S,2024-12-26,Bofete,SÃO PAULO,5.0
BRACELL SP,0298,MONJOLÃO,050-01,2024-12-28,BALDEIO FORWARDER,S,2024-12-24,Bofete,SÃO PAULO,5.0
BRACELL SP,0298,MONJOLÃO,048-01,2024-12-30,BALDEIO FORWARDER,S,2024-12-21,Bofete,SÃO PAULO,5.0
BRACELL SP,0298,MONJOLÃO,040-01,2024-12-23,BALDEIO FORWARDER,S,2024-12-18,Bofete,SÃO PAULO,5.0
BRACELL SP,0325,SÃO DOMINGOS,024-01,2024-09-10,BALDEIO FORWARDER,S,2024-09-07,Presidente Alves,SÃO PAULO,9.52
BRACELL SP,0298,MONJOLÃO,049-01,2024-12-28,BALDEIO FORWARDER,S,2024-12-24,Bofete,SÃO PAULO,5.0
BRACELL SP,0564,BARRA MANSA,014-01,2025-05-03,BALDEIO FORWARDER,S,2025-04-29,Bofete,SÃO PAULO,10.81
BRACELL SP,0471,SÃO JOSÉ V - QUINTANA,024-01,,BALDEIO FORWARDER,N,2025-06-13,Quintana,SÃO PAULO,17.67
BRACELL SP,0516,SANTA FELICIDADE,001-01,2025-02-10,BALDEIO FORWARDER,S,2025-02-07,Getulina,SÃO PAULO,34.87
BRACELL SP,0516,SANTA FELICIDADE,010-01,2025-02-17,BALDEIO FORWARDER,S,2025-02-09,Getulina,SÃO PAULO,34.87
BRACELL SP,0599,SÍTIO NOVO HORIZONTE,001-01,,BALDEIO FORWARDER,N,,Avaí,SÃO PAULO,1.19
BRACELL SP,0320,BOA SORTE III,008-01,,BALDEIO FORWARDER,N,,Pirajuí,SÃO PAULO,4.71
BRACELL SP,0516,SANTA FELICIDADE,006-01,2025-02-10,BALDEIO FORWARDER,S,2025-02-07,Getulina,SÃO PAULO,34.87
BRACELL SP,0516,SANTA FELICIDADE,009-01,2025-02-13,BALDEIO FORWARDER,S,2025-02-07,Getulina,SÃO PAULO,34.87
BRACELL SP,0591,SÃO JOSÉ VIII,001-01,,BALDEIO FORWARDER,N,2025-06-15,Cabrália Paulista,SÃO PAULO,1.09
BRACELL SP,0516,SANTA FELICIDADE,005-01,2025-02-10,BALDEIO FORWARDER,S,2025-02-08,Getulina,SÃO PAULO,34.87
BRACELL SP,0380,ONDA VERDE,002-01,2025-04-22,BALDEIO FORWARDER,S,2025-03-28,Lupércio,SÃO PAULO,5.66
BRACELL SP,0469,2T,003-01,2025-02-18,BALDEIO FORWARDER,S,2025-02-09,Avaré,SÃO PAULO,29.47
BRACELL SP,0469,2T,002-01,2025-02-15,BALDEIO FORWARDER,S,2025-02-09,Avaré,SÃO PAULO,29.47
BRACELL SP,0667,SÃO MATIAS E SÃO JOÃO,002-01,,BALDEIO FORWARDER,N,,Mombuca,SÃO PAULO,13.82
BRACELL SP,0475,IPÊ III - ITATINGA,003-01,2025-03-12,BALDEIO FORWARDER,S,2025-03-08,Itatinga,SÃO PAULO,2.79
BRACELL SP,0475,IPÊ III - ITATINGA,010-01,2025-02-09,BALDEIO FORWARDER,S,2025-02-08,Itatinga,SÃO PAULO,2.79
